"Player","Nation","Pos","Squad","Age","MP","Min","Gls.","Ast","CrdY","Gls","Ast.1","G.A","xG","xA","xG.1","xA.1","SCA.","SCA90","PassLive","PassDead","GCA","GCA90","PassLive.1","PassDead.1","Touches","Att.3rd","Succ","Att","Succ.","X.PDP","Megs"
"A.J. DeLaGarza","gu GUM","DF","Houston",31,23,"1,995",0,1,5,0,0.05,0.05,0.2,0.5,0.01,0.02,14,0.63,13,1,1,0.05,1,0,1202,265,6,9,66.7,6,1
"Aaron Herrera","us USA","DF","Real Salt Lake",21,32,"2,767",0,3,7,0,0.1,0.1,0.6,2.3,0.02,0.08,50,1.63,45,1,6,0.2,5,0,1937,484,37,62,59.7,39,2
"Aaron Long","us USA","DF","NY Red Bulls",26,24,"2,115",2,0,3,0.09,0,0.09,1.6,0.5,0.07,0.02,7,0.3,7,0,1,0.04,1,0,1154,72,2,2,100,2,0
"Abu Danladi","gh GHA","FW,MF","Minnesota",23,24,"703",2,2,3,0.26,0.26,0.51,2.3,1.5,0.29,0.19,15,1.92,13,0,3,0.38,2,0,326,198,9,20,45,11,1
"Adam Lundqvist","se SWE","DF","Houston",24,28,"2,386",0,3,4,0,0.11,0.11,0.2,4.4,0.01,0.17,55,2.07,32,16,7,0.26,5,1,1645,561,24,42,57.1,27,3
"Adama Diomande","no NOR","FW","Los Angeles FC",28,25,"1,435",8,5,1,0.5,0.31,0.82,9.5,3.4,0.6,0.21,51,3.2,30,0,12,0.75,9,0,589,360,43,68,63.2,44,2
"Adrien Perez","us USA","FW","Los Angeles FC",23,12,"205",1,0,0,0.44,0,0.44,1.4,0.2,0.64,0.09,6,2.63,5,0,0,0,0,0,136,91,9,13,69.2,10,1
"Albert Rusnák","sk SVK","MF,FW","Real Salt Lake",24,29,"2,457",10,3,2,0.37,0.11,0.48,8.5,4.3,0.31,0.16,114,4.18,78,22,11,0.4,7,1,1512,664,42,55,76.4,43,0
"Alberth Elis","hn HON","FW,MF","Houston",22,26,"1,920",9,8,6,0.42,0.37,0.8,10.1,7.2,0.47,0.34,74,3.47,49,0,17,0.8,9,0,949,604,50,119,42,57,7
"Alejandro Bedoya","us USA","MF","Philadelphia",31,32,"2,834",4,3,6,0.13,0.1,0.22,2.1,3,0.07,0.09,68,2.16,62,1,7,0.22,5,0,1941,712,18,28,64.3,23,2
"Alejandro Pozuelo","es ESP","MF,FW","Toronto FC",27,30,"2,523",12,7,5,0.43,0.25,0.68,8.8,7.6,0.31,0.27,132,4.71,93,23,12,0.43,9,1,2236,1199,69,108,63.9,74,5
"Aleksandar Katai","rs SRB","FW,MF","Chicago",27,29,"2,105",6,6,3,0.26,0.26,0.51,5.7,8.5,0.24,0.36,102,4.36,63,7,12,0.51,7,1,1358,864,83,140,59.3,92,6
"Alex Crognale","us USA","DF","Columbus",24,12,"881",0,0,5,0,0,0,1,0,0.11,0,4,0.41,4,0,1,0.1,1,0,477,14,0,2,0,1,0
"Alex Muyl","us USA","FW,DF","NY Red Bulls",23,24,"1,401",3,2,4,0.19,0.13,0.32,3,2.5,0.2,0.16,31,1.99,24,0,4,0.26,4,0,853,386,24,42,57.1,27,3
"Alexander Callens","pe PER","DF","NYCFC",26,24,"2,160",0,0,3,0,0,0,0.8,0.1,0.04,0.01,12,0.52,8,0,0,0,0,0,1630,79,4,5,80,4,0
"Alexander Ring","fi FIN","MF","NYCFC",27,31,"2,790",4,4,12,0.13,0.13,0.26,3.3,2.3,0.11,0.08,58,1.93,49,4,7,0.23,6,0,2336,311,18,30,60,19,3
"Alexandru Mitri??","ro ROU","FW,MF","NYCFC",23,29,"2,135",12,2,2,0.51,0.08,0.59,7.7,3.5,0.32,0.15,96,4.05,51,11,10,0.42,5,0,1155,636,67,97,69.1,69,2
